yx,yy,yz,yaw,pitch
0.156921,0.581511,-0.813011,15.10158798,53.46744921
-0.0231471,0.594058,-0.802302,-2.231365586,53.46141579
0.159604,0.5808,-0.812771,15.36561189,53.45849505
0.161478,0.582194,-0.812224,15.5019478,53.35627759
-0.0969009,0.589336,-0.802345,-9.337246628,53.33675361
0.210061,0.565543,-0.810035,20.37662853,53.32213978
-0.105643,0.588225,-0.801436,-10.18156457,53.28785657
0.208487,0.566764,-0.809227,20.1963004,53.26746893
0.051494,0.596342,-0.800666,4.935236028,53.21898051
-0.331965,0.49851,-0.797825,-33.66021851,53.10447477
-0.325475,0.505259,-0.798671,-32.78860471,53.03778764
-0.0545053,0.602188,-0.796378,-5.171868595,52.79242982
-0.0741034,0.600833,-0.797304,-7.031035607,52.79093581
-0.0741034,0.600833,-0.797304,-7.031035607,52.79093581
-0.0741034,0.600833,-0.797304,-7.031035607,52.79093581
-0.392043,0.453676,-0.788849,-40.83185543,52.76174472
-0.40604,0.445242,-0.792614,-42.36336088,52.75606903
0.123404,0.59762,-0.801657,11.66716284,52.72130643
0.063143,0.602712,-0.794961,5.980763408,52.68118918
0.200142,0.578489,-0.801852,19.08427609,52.64193992
0.507391,0.310418,-0.778739,58.54201855,52.62674825
0.164074,0.58947,-0.796068,15.55409511,52.45319177
0.0951397,0.605392,-0.795746,8.931206284,52.39930971
-0.349263,0.499509,-0.787548,-34.96173171,52.26282106
0.0586023,0.609683,-0.790427,5.490363038,52.22830089
0.0586023,0.609683,-0.790427,5.490363038,52.22830089
-0.252627,0.569215,-0.801034,-23.93243726,52.13703249
-0.4981,0.365594,-0.794553,-53.72218316,52.1302411
0.218187,0.572758,-0.787652,20.85388814,52.11184494
0.0606626,0.611609,-0.788766,5.66437066,52.07411629
0.0606626,0.611609,-0.788766,5.66437066,52.07411629
-0.452866,0.409446,-0.781559,-47.8825801,52.00462792
0.0596702,0.61291,-0.787873,5.560539437,51.98853572
0.0596702,0.61291,-0.787873,5.560539437,51.98853572
0.0513482,0.613743,-0.787277,4.782456842,51.96390737
-0.363355,0.495956,-0.785067,-36.22783074,51.93412735
-0.316678,0.526075,-0.782884,-31.0464098,51.89201305
0.176761,0.600836,-0.79801,16.3934485,51.87432909
0.332678,0.517956,-0.782138,32.71223076,51.79503625
0.254604,0.555541,-0.776102,24.62194893,51.7830124
0.254604,0.555541,-0.776102,24.62194893,51.7830124
0.254604,0.555541,-0.776102,24.62194893,51.7830124
0.0603012,0.616138,-0.785281,5.589715313,51.74927231
0.0603012,0.616138,-0.785281,5.589715313,51.74927231
0.120043,0.609962,-0.787656,11.13375389,51.71751959
0.0294154,0.619966,-0.784532,2.716463921,51.65157259
-0.208852,0.581092,-0.778549,-19.76909521,51.5812863
-0.177505,0.605227,-0.793505,-16.34570873,51.52045315
-0.177505,0.605227,-0.793505,-16.34570873,51.52045315
-0.177505,0.605227,-0.793505,-16.34570873,51.52045315
