is_coarse,dose,risk,distance,threshold,randomangle
FALSE,0.02808726382388988,9.8305416867406e-8,7.4,1,close
FALSE,0.027686111126223028,9.690138256028099e-8,7.5,1,close
FALSE,0.02805757454117738,9.820150436495427e-8,7.6,1,close
FALSE,0.026774268871431275,9.370993524019205e-8,7.7,1,close
FALSE,0.02625552483442339,9.189433118072585e-8,7.8,1,close
FALSE,0.02498582038883408,8.745036611577249e-8,7.9,1,close
FALSE,0.024763976480494727,8.667391260967675e-8,8,1,close
FALSE,0.023545122633105892,8.240792476301983e-8,8.1,1,close
FALSE,0.023600469954382197,8.260164029853787e-8,8.2,1,close
FALSE,0.022449562258055646,7.857346385848e-8,8.3,1,close
FALSE,0.022614722410297036,7.915152427832421e-8,8.4,1,close
FALSE,0.022380439659441902,7.83315347345715e-8,8.5,1,close
FALSE,0.02083478426861466,7.292174140781964e-8,8.6,1,close
FALSE,0.020293558419081266,7.102745107493343e-8,8.7,1,close
FALSE,0.020441817524623894,7.154635789182252e-8,8.8,1,close
FALSE,0.019698286930488352,6.894400111857151e-8,8.9,1,close
FALSE,0.019360376184686744,6.776131358070427e-8,9,1,close
FALSE,0.019304407253194773,6.756542236495598e-8,9.1,1,close
FALSE,0.018403041492987098,6.441064243993894e-8,9.2,1,close
FALSE,0.018351996801389787,6.423198595553231e-8,9.3,1,close
FALSE,0.017400002284624905,6.090000552141282e-8,9.4,1,close
FALSE,0.017911456107126404,6.269009367875484e-8,9.5,1,close
FALSE,0.017211158069451993,6.023905081503474e-8,9.6,1,close
FALSE,0.016446981977344788,5.7564434723845125e-8,9.700000000000001,1,close
FALSE,0.016450030105512495,5.757510309288662e-8,9.8,1,close
FALSE,0.015613732956995582,5.464806336542067e-8,9.9,1,close
FALSE,0.015477044706958935,5.4169654522271764e-8,10,1,close
FALSE,155.12623344666778,5.427495763770005e-4,0.1,1,far
FALSE,39.17784222300223,1.371099791423285e-4,0.2,1,far
FALSE,17.203291829554217,6.020905865055511e-5,0.30000000000000004,1,far
FALSE,9.889018229180888,3.461076569479239e-5,0.4,1,far
FALSE,6.200191535189451,2.1700360988210765e-5,0.5,1,far
FALSE,4.477561244917057,1.56713027946989e-5,0.6,1,far
FALSE,3.296397221481446,1.1537300892281573e-5,0.7000000000000001,1,far
FALSE,2.4017476951584196,8.406068897165061e-6,0.8,1,far
